Labels,energy,peak to peak,first derivative min,second deriv min,second deriv max,positive peak,negative peak
ClusterB,229.5,0.204545454545455,-1,7,-4,13,10
ClusterB,231.5,0.477272727272727,0,8,-3,14,10
ClusterA,587.5,0.363636363636364,-1,0,-8,26,19
ClusterA,607,0.386363636363636,4,22,-6,27,20
ClusterA,605.5,0.704545454545455,3,10,-3,26,18
ClusterA,478.75,0.704545454545455,3,12,-1,22,16
ClusterA,464,0.386363636363636,2,11,-3,22,16
ClusterB,338,0.454545454545455,2,8,-2,16,12
ClusterB,323,0.454545454545455,5,14,0,17,11
ClusterB,329,0.454545454545455,1,2,-2,17,11
ClusterA,516,0.340909090909091,-4,6,-8,22,18
ClusterA,563,0.272727272727273,-9,6,-13,25,22
ClusterB,332.5,0.681818181818182,3,8,0,16,11
ClusterB,322.5,0.409090909090909,3,8,-2,16,11
ClusterB,282,0.454545454545455,1,9,-3,16,11
ClusterA,675.5,0.295454545454545,-13,5,-19,28,28
ClusterB,246.5,0.477272727272727,2,6,-1,13,9
ClusterA,991.5,0.340909090909091,-1,-3,-18,41,28
ClusterA,927.5,0.704545454545455,6,7,-11,38,24
ClusterB,195.5,0.431818181818182,2,6,-2,11,8
ClusterA,549,0.340909090909091,-6,6,-12,23,21
ClusterB,183,0.431818181818182,1,5,-1,10,7
ClusterB,266.5,0.431818181818182,1,5,-2,13,10
ClusterA,447.5,0.340909090909091,-8,3,-10,18,19
ClusterA,448.5,0.431818181818182,2,9,-3,20,15
ClusterA,419,0.295454545454545,-4,7,-6,21,17
ClusterA,481.5,0.340909090909091,-4,6,-7,20,17
ClusterB,338.5,0.727272727272727,2,7,0,15,12
ClusterB,321,0.409090909090909,2,7,-1,15,11
ClusterB,285.038313779565,0.363636363636364,0.528317083424492,7.5069652424209,-1.47046048739701,14.5184296616582,10.4785246994699
ClusterB,288.56705153492,0.704545454545455,1.49925887595564,7.5198368204925,0.497283781944702,14.5226240211178,9.49365320111519
ClusterB,299.863718209777,0.386363636363636,0.516452088574268,7.52243736596341,-1.49163238840368,15.5161177378852,10.4962629490006
ClusterB,310.522206301408,0.681818181818182,0.521423273598482,8.50656475883695,-0.488619514522076,15.5181917839106,10.4919848948371
